25106,24,60000,RENT,8.0,PERSONAL,B,12000,9.99,0.2,N,2,0
42201,29,68000,MORTGAGE,9.0,PERSONAL,A,8000,7.88,0.12,N,9,0
18877,22,60000,OWN,2.0,MEDICAL,B,5600,11.86,0.09,N,2,0
42084,24,50000,RENT,1.0,HOMEIMPROVEMENT,C,8000,13.98,0.16,Y,2,0
24524,31,38896,RENT,12.0,EDUCATION,B,8125,10.59,0.21,N,6,0
58411,23,60000,MORTGAGE,3.0,EDUCATION,A,12000,8.49,0.2,N,3,0
23451,22,44400,RENT,3.0,VENTURE,A,5400,9.32,0.13,N,3,0
29201,23,36000,RENT,8.0,EDUCATION,B,5000,11.71,0.14,N,2,0
52712,23,55000,MORTGAGE,5.0,EDUCATION,B,18250,10.25,0.33,N,4,0
21691,24,70000,RENT,1.0,DEBTCONSOLIDATION,A,3000,7.4,0.04,N,4,0
39500,21,87000,MORTGAGE,0.0,EDUCATION,B,7000,10.59,0.08,N,3,0
28942,21,57000,OWN,5.0,PERSONAL,B,14400,9.62,0.26,N,3,0
44743,32,39000,RENT,10.0,EDUCATION,D,5000,16.07,0.13,N,8,1
35764,40,54000,MORTGAGE,2.0,PERSONAL,B,4000,12.42,0.07,N,12,0
10005,30,66000,RENT,14.0,EDUCATION,C,10000,13.8,0.15,N,7,0
27803,31,60000,RENT,3.0,PERSONAL,A,6000,8.49,0.1,N,8,0
36980,30,60000,RENT,0.0,PERSONAL,C,20000,13.49,0.33,Y,8,1
58266,25,26000,RENT,0.0,PERSONAL,C,8400,12.72,0.3,Y,3,1
21250,29,28800,OWN,1.0,PERSONAL,B,8500,11.99,0.3,N,9,0
51047,25,75000,MORTGAGE,9.0,DEBTCONSOLIDATION,C,10000,13.49,0.13,Y,2,0
41980,25,90000,MORTGAGE,7.0,VENTURE,A,11000,7.51,0.12,N,2,0
17361,31,25200,RENT,0.0,MEDICAL,C,1500,14.27,0.06,Y,6,0
362,24,54000,RENT,4.0,HOMEIMPROVEMENT,C,17000,13.99,0.32,Y,4,1
30679,24,35000,RENT,9.0,VENTURE,B,1000,11.99,0.03,N,4,0
22760,30,54000,MORTGAGE,14.0,VENTURE,A,10000,6.62,0.19,N,8,0
5279,41,31500,RENT,3.0,PERSONAL,B,6000,11.11,0.19,N,17,0
25597,23,24000,RENT,7.0,EDUCATION,A,6000,5.42,0.25,N,3,0
50481,29,88000,MORTGAGE,14.0,MEDICAL,B,18000,11.58,0.22,N,6,0
15771,38,70000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,7000,7.49,0.1,N,12,0
40500,25,60000,RENT,4.0,MEDICAL,A,7000,7.14,0.12,N,3,0
35579,25,72000,RENT,1.0,MEDICAL,B,10000,12.42,0.14,N,2,0
55472,24,21000,RENT,3.0,EDUCATION,A,4000,7.88,0.19,N,2,0
57114,27,50000,RENT,0.0,EDUCATION,C,5000,13.49,0.1,Y,8,0
13263,23,70000,MORTGAGE,7.0,PERSONAL,C,8000,13.61,0.11,Y,4,0
58381,26,26000,RENT,4.0,PERSONAL,D,8400,14.96,0.33,N,2,1
3739,25,102000,RENT,9.0,HOMEIMPROVEMENT,E,14000,17.19,0.14,Y,2,0
19604,37,120000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,7000,6.03,0.06,N,11,0
44447,24,51000,RENT,8.0,MEDICAL,E,16750,16.4,0.33,Y,2,1
11499,26,71000,RENT,2.0,MEDICAL,C,12000,13.49,0.17,Y,4,0
38452,45,54000,RENT,2.0,PERSONAL,B,20000,11.49,0.37,N,15,1
33011,26,33189,RENT,4.0,EDUCATION,B,3000,11.12,0.09,N,3,0
52079,23,38004,RENT,5.0,EDUCATION,B,18000,11.11,0.47,N,2,1
1320,23,98000,RENT,1.0,EDUCATION,E,20000,16.4,0.2,N,2,1
36843,30,54000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,10000,9.99,0.19,N,5,0
30291,25,40000,RENT,3.0,MEDICAL,A,10300,5.79,0.26,N,2,0
28859,25,62000,MORTGAGE,2.0,PERSONAL,A,8000,5.79,0.13,N,4,0
8572,28,75000,RENT,3.0,EDUCATION,B,4000,10.74,0.05,N,7,0
57959,30,70000,RENT,0.0,DEBTCONSOLIDATION,B,10000,9.45,0.14,N,9,0
21495,30,70000,RENT,3.0,HOMEIMPROVEMENT,A,3600,6.03,0.05,N,6,0
36600,23,42000,RENT,2.0,EDUCATION,A,3000,7.29,0.07,N,3,0
38614,24,29000,RENT,5.0,PERSONAL,B,8000,10.99,0.28,N,4,1
5799,25,48000,RENT,0.0,DEBTCONSOLIDATION,C,6500,14.26,0.14,Y,2,0
50650,27,65000,MORTGAGE,11.0,EDUCATION,B,4500,11.99,0.07,N,8,0
58,24,40000,RENT,1.0,MEDICAL,B,14125,9.91,0.35,N,3,1
31336,24,35000,MORTGAGE,8.0,VENTURE,A,6000,7.88,0.17,N,3,0
32850,26,117000,MORTGAGE,3.0,PERSONAL,C,20400,13.06,0.17,Y,3,0
22261,31,54000,RENT,13.0,EDUCATION,B,2000,10.74,0.04,N,10,0
31407,26,175000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,10000,14.27,0.06,Y,2,0
29608,29,92000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,18300,14.26,0.2,Y,9,0
24568,32,33000,RENT,16.0,MEDICAL,C,8500,13.11,0.25,Y,6,0
38595,23,103000,MORTGAGE,7.0,EDUCATION,B,24000,10.99,0.23,N,3,0
6826,22,60000,MORTGAGE,3.0,VENTURE,C,11300,13.49,0.19,N,2,0
28936,21,70000,RENT,4.0,EDUCATION,A,6000,7.49,0.09,N,2,0
14497,28,80000,RENT,1.0,MEDICAL,C,12000,14.27,0.15,N,6,0
42978,25,50000,RENT,3.0,EDUCATION,C,4800,13.35,0.1,Y,4,0
9273,22,40000,RENT,2.0,DEBTCONSOLIDATION,C,14000,14.27,0.35,N,2,1
44506,28,105000,RENT,2.0,PERSONAL,A,8000,7.74,0.08,N,8,0
7101,23,66000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,3000,7.51,0.05,N,3,0
57646,31,52000,OWN,2.0,HOMEIMPROVEMENT,C,1000,14.72,0.02,N,5,0
17544,22,72000,MORTGAGE,6.0,VENTURE,A,6000,5.79,0.08,N,2,0
5626,24,33000,RENT,2.0,MEDICAL,D,3000,15.65,0.09,Y,2,1
22106,24,55000,RENT,7.0,DEBTCONSOLIDATION,C,12000,13.47,0.22,Y,4,0
26712,28,86000,MORTGAGE,4.0,DEBTCONSOLIDATION,B,15000,11.12,0.18,N,9,0
